Name,IATA,ICAO,Callsign,Country,Active
Allegiant Air,G4,AAY,ALLEGIANT,United States,Y
Angus Aviation,,AAZ,ANGUS,Canada,N
Artem-Avia,,ABA,ARTEM-AVIA,Ukraine,N
African Business and Transportations,,ABB,AFRICAN BUSINESS-,Democratic Republic of the Congo,N
Aban Air,K5,ABE,ABAN,Iran,n
Aerial Oy,,ABF,SKYWINGS,Finland,N
Abakan-Avia,,ABG,ABAKAN-AVIA,Russia,N
ABSA - Aerolinhas Brasileiras,M3,TUS,ABSA Cargo,Brazil,Y
Abaet,,ABJ,Abaet,Brazil,N
Alberta Citylink,,ABK,ALBERTA CITYLINK,Canada,N
APSA Colombia,,ABO,AEROEXPRESO,Colombia,N
Aerovias Bueno,,ABU,AEROBUENO,Colombia,N
Aerocenter,,ACR, Escuela de Formacion de Pioltos Privados de Avion,AEROCENTER,N
Antrak Air,4,ABV,ANTRAK,Ghana,N
Airborne Express,GB,ABX,ABEX,United States,N
ABX Air,GB,ABX,ABEX,United States,N
ATA Brasil,,ABZ,ATA-BRAZIL,Brazil,N
Avcard Services,,ACC,,United Kingdom,N
Academy Airlines,,ACD,ACADEMY,United States,N
Aero Comondu,,ACO,AERO COMONDU,Mexico,N
Astral Aviation,8V,ACP,ASTRAL CARGO,Kenya,Y
Air Cess,,ACS,,Liberia,N
Air Aurora,,AAI,BOREALIS,United States,N
Air Cargo Transportation System,,ACU,AFRISPIRIT,Kenya,N
Air Charter Service,,ACV,,United Kingdom,N
Aero Asia International,E4,RSO,AERO ASIA,Pakistan,N
Air Charters,,ACX,PARAIR,Canada,N
Air Togo,YT,TGA,AIR TOGO,Togo,N
Air Somalia,,RSM,AIR SOMALIA,Somali Republic,N
Atlas Cargo Lines,,ACY,ATLAS CARGOLINES,Morocco,N
Airservices Australia,,ADA,AUSCAL,Australia,N
Advance Leasing Company,4G,,,United States,N
Aztec Worldwide Airlines,7A,,,United States,N
Air Tindi,8T,,,Canadian Territories,Y
Antonov Airlines,,ADB,ANTONOV BUREAU,Ukraine,N
Air Atlantic Dominicana,,ADC,ATLAN-DOMINICAN,Dominican Republic,N
Advanced Air Co.,,ADD,,Japan,N
Ada Air,ZY,ADE,ADA AIR,Albania,Y
Aerea Flying Training Organization,,ADG,AEREA TRAINING,Spain,N
Audeli Air,,ADI,AUDELI,Spain,N
Abicar,,ADJ,ABICAR,Ivory Coast,N
ADC Airlines,Z7,ADK,ADCO,Nigeria,N
Aero Dynamics,,ADL,COTSWOLD,United Kingdom,N
Aerolineas Dominicanas,,ADM,DOMINAIR,Dominican Republic,N
Aerodienst GmbH,,ADN,AERODIENST,Germany,N
Aerodiplomatic,,ADP,AERODIPLOMATIC,Mexico,N
Aerodyne,,ADY,AERODYNE,United States,N
Avion Taxi,,ADQ,AIR DATA,Canada,N
Adria Airways,JP,ADR,ADRIA,Slovenia,Y
Aviones de Sonora,,ADS,SONORAV,Mexico,N
Air Dorval,,ADT,AIR DORVAL,Canada,N
Airdeal Oy,,ADU,AIRDEAL,Finland,N
Advance Air Charters,,ADV,ADVANCE,Canada,N
Air Andaman,,ADW,AIR ANDAMAN,Thailand,N
Anderson Aviation,,ADX,ANDAX,United States,N
Air Europa,UX,AEA,EUROPA,Spain,Y
Air Southwest Ltd.,,ASW,AIRSOUTHWEST,Canada,N
Air Special,,ASX,AIRSPEC,Czech Republic,N
Aero Benin,EM,AEB,AEROBEN,Benin,Y
Aerocesar,,AEC, Aerovias Del Cesar,AEROCESAR,N
Aerotrans Airlines,,AED,,Russia,N
Aegean Airlines,A3,AEE,AEGEAN,Greece,Y
Aerofumigaciones Sam,,AEG,FUMIGACIONES SAM,Chile,N
Aeroexpreso Interamericano,,AEI,INTERAM,Colombia,N
Air Express,,AEJ,KHAKI EXPRESS,Tanzania,N
Aerocon,,AEK,AEROCON,Bolivia,N
Aero Madrid,,AEM,AEROMADRID,Spain,N
Aeroenlaces Nacionales,,AEN,,Mexico,N
Aeroservicios Ejecutivos Del Occidente,,AEO,AERO OCCIDENTE,Mexico,N
Aerotec,,AEP,AEROTEC,Spain,N
Air Atlantique,KI,AAG,ATLANTIC,United Kingdom,N
Air Europe,PE,AEL,AIR EUROPE,Italy,Y
Air Alma,,AAJ,AIR ALMA,Canada,N
Air Express,,AEQ,LUNA,Sweden,N
Alaska Central Express,KO,AER,ACE AIR,United States,Y
ACES Colombia,,AES,ACES,Colombia,Y
Aeronautical Radio of Thailand,,AET,AEROTHAI,Thailand,N
Astraeus,5W,AEU,FLYSTAR,United Kingdom,Y
Aeroventas,,AEV,AEROVENTAS,Mexico,N
Aerosvit Airlines,VV,AEW,AEROSVIT,Ukraine,Y
Airway Express,,AEX,AVCO,United States,N
Air Italy,I9,AEY,AIR ITALY,Italy,Y
Aerial Transit Company,,AEZ,AERIAL TRANZ,United States,N
Alfa Air,,AFA,BLUE ALFA,Czech Republic,N
American Falcon,WK,AFB,AMERICAN FALCON,Argentina,N
Alliance Airlines,QQ,UTY,UNITY,Australia,Y
Air Universal,,UVS,UNI-LEONE,Sierra Leone,N
Auvia Air,,UVT,AUVIA,Indonesia,N
African West Air,,AFC,AFRICAN WEST,Senegal,N
Airfast Indonesia,,AFE,AIRFAST,Indonesia,N
Ariana Afghan Airlines,FG,AFG,ARIANA,Afghanistan,Y
Air Fecteau,,AFH,FECTO,Canada,N
Africaone,,AFI,AFRICAWORLD,Uganda,N
Alliance,,AFJ,JAMBO,Uganda,N
Africa Air Links,,AFK,AFRICA LINKS,Sierra Leone,N
Aeroflot Russian Airlines,SU,AFL,AEROFLOT,Russia,Y
Aero Empresa Mexicana,,AFO,AERO EMPRESA,Mexico,N
Air Bosna,JA,BON,AIR BOSNA,Bosnia and Herzegovina,Y
Air Bravo,,BRF,AIR BRAVO,Uganda,N
Air Brasd'or,,BRL,BRASD'OR,Canada,N
Air 500,,BRM,BOOMERANG,Canada,N
Alba Servizi Aerotrasporti,,AFQ,ALBA,Italy,N
Air France,AF,AFR,AIRFRANS,France,Y
Air Partner,,ACG,AIR PARTNER,United Kingdom,N
Air Caledonie International,SB,ACI,AIRCALIN,France,Y
Air Caledonia,,ACM,WEST CAL,Canada,N
Air Guam,,AGM,AIR GUAM,United States,N
Air Gabon,GN,AGN,GOLF NOVEMBER,Gabon,N
Air Data,,AFS,,United Kingdom,N
Air Afrique Vacancies,,AFV,AFRIQUE VACANCE,Ivory Coast,N
Air Cargo America,,MVM,PEGASUS,United States,N
Air Salone,2O,,,Sierra Leone,Y
Air-Angol,,NGO,AIR ANGOL,Angola,N
Air Nigeria,,NGP,REGAL EAGLE,Nigeria,N
Air Cargo Carriers,2Q,SNC,NIGHT CARGO,United States,Y
Air Samarkand,,SND,ARSAM,Uzbekistan,N
Air Senegal International,V7,SNG,AIR SENEGAL,Senegal,N
Air Sandy,,SNY,AIR SANDY,Canada,N
Air Namibia,SW,NMB,NAMIBIA,Namibia,Y
Air Intersalonika,,NSK,INTERSALONIKA,Greece,N
Air Anatolia,,NTL,AIR ANATOLIA,Turkey,N
Air Saigon,,SGA,AIR SAIGON,Vietnam,N
Afrique Regional Airways,,AFW,AFRAIR,Ivory Coast,N
Airfreight Express,,AFX, ,United Kingdom,N
Africa Chartered Services,,AFY,AFRICA CHARTERED,Nigeria,N
Africa Freight Services,,AFZ,AFREIGHT,Zambia,N
Aeronaves Del Centro,,AGA,,Venezuela,N
Air Service Gabon,G8,AGB,,Gabon,N
Arab Agricultural Aviation Company,,AGC,AGRICO,Egypt,N
Atlantic Gulf Airlines,,AGF,ATLANTIC GULF,United States,N
Aerolitoral,5D,SLI,COSTERA,Mexico,Y
Algoma Airways,,AGG,ALGOMA,Canada,N
Altagna,,AGH,ALTAGNA,France,N
Angola Air Charter,,AGO,ANGOLA CHARTER,Angola,N
Angola Air Charter,,AGO,ANGOLA CHARTER,Angola,N
AERFI Group,,AGP,AIR TARA,Ireland,N
Aerogala,,AGQ,GALASERVICE,Chile,N
Amadeus Global Travel Distribution,1A,AGT,AMADEUS,Spain,N
Angara Airlines,,AGU,SARMA,Russia,N
Air Glaciers,7T,AGV,AIR GLACIERS,Switzerland,Y
Aero Gambia,,AGW,AERO GAMBIA,Gambia,N
Aviogenex,,AGX,GENEX,Serbia,Y
Atlantic Coast Airlines,,BLR,BLUE RIDGE,United States,N
Aero Barloz,,BLZ,AEROLOZ,Mexico,N
Aeroper,PL,PLI,Aeroperu,Peru,Y
Atlas Blue,8A,BMM,ATLAS BLUE,Morocco,Y
Aero Banobras,,BNB,AEROBANOBRAS,Mexico,N
Aero Flight Service,,AGY,FLIGHT GROUP,United States,N
Agrolet-Mci,,AGZ,AGROLET,Slovakia,N
Air Alpha Greenland,GD,AHA,AIR ALPHA,Denmark,N
Azal Avia Cargo,,AHC,AZALAVIACARGO,Azerbaijan,N
Airport Helicopter Basel,,AHE, Muller & Co.,AIRPORT HELICOPTER,N
Aeroservices Corporate,,CJE,BIRD JET,France,N
Aspen Helicopters,,AHF,ASPEN,United States,N
Aerochago Airlines,,AHG,AEROCHAGO,Dominican Republic,N
Airplanes Holdings,,AHH,AIRHOLD,Ireland,N
Air Hong Kong,LD,AHK,AIR HONG KONG,Hong Kong,N
Aerochiapas,,AHP,AEROCHIAPAS,Mexico,N
Air Adriatic,,AHR,ADRIATIC,Croatia,N
Air Viggi San Raffaele,,AHS,AIRSAR,Italy,N
ABC Air Hungary,,AHU,ABC HUNGARY,Hungary,N
Aeromist-Kharkiv,HT,AHW,AEROMIST,Ukraine,N
Azerbaijan Airlines,J2,AHY,AZAL,Azerbaijan,Y
Avies,U3,AIA,AVIES,Estonia,Y
Airbus Industrie,AP,AIB,AIRBUS INDUSTRIE,France,N
Alpine Air Chile,,AIH,ALPINE CHILE,Chile,N
Air Integra,,AII,INTEGRA,Canada,N
ABC Aerolineas,,AIJ,ABC AEROLINEAS,Mexico,N
African Airlines International Limited,,AIK,AFRICAN AIRLINES,Kenya,N
African International Airways,,AIN,FLY CARGO,Swaziland,N
Alpine Air Express,5A,AIP,ALPINE AIR,United States,N
Alicante Internacional Airlines,,AIU,ALIA,Spain,N
Aba Air,,ABP,BAIR,Czech Republic,N
Airblue,ED,ABQ,PAKBLUE,Pakistan,Y
Airmark Aviation,,THM,THAI AIRMARK,Thailand,N
Airlift International,,AIR,AIRLIFT,United States,Y
Airest,,AIT, ,Estonia,N
Air Baffin,,BFF,AIR BAFFIN,Canada,N
Air Bandama,,BDM,BANDAMA,Ivory Coast,N
Air Berlin,AB,BER,AIR BERLIN,Germany,Y
Air Brousse,,ABT,AIR BROUSSE,Canada,N
Air Contractors,AG,ABR,CONTRACT,Ireland,N
Air Illinois,,AIL,AIR ILLINOIS,United States,N
Air India Limited,AI,AIC,AIRINDIA,India,Y
Air Inter Gabon,,AIG, ,Gabon,N
Air Bourbon,ZB,BUB,BOURBON,Reunion,Y
Air Atlanta Icelandic,CC,ABD,ATLANTA,Iceland,Y
Air Inuit,,AIE,AIR INUIT,Canada,N
Air Sureste,,AIS,SURESTE,Spain,N
Air Srpska,RB,SBK,Air Srpska,Bosnia and Herzegovina,N
Air Tahiti Nui,TN,THT,TAHITI AIRLINES,France,Y
Airvias S/A Linhas Aereas,,AIV,AIRVIAS,Brazil,N
Aero Services Executive,W4,BES,BIRD EXPRESS,France,N
Atlantic Island Airways,,AIW,TARTAN,Canada,N
Aircruising Australia,,AIX,CRUISER,Australia,N
Aircrew Check and Training Australia,,AIY,AIRCREW,Australia,N
Arkia Israel Airlines,IZ,AIZ,ARKIA,Israel,Y
A J Services,,AJA,AYJAY SERVICES,United Kingdom,N
Aero JBR,,AJB,AERO JBR,Mexico,N
Aero Jet Express,,AJE,JET EXPRESS,Mexico,N
Avia Consult Flugbetriebs,,AJF,AVIACONSULT,Austria,N
Ameristar Jet Charter,,AJI,AMERISTAR,United States,N
A2 Jet Leasing,,AJJ,ATLANTIC JET,United States,N
Allied Air,,AJK,BAMBI,Nigeria,N
Air Jamaica,JM,AJM,JAMAICA,Jamaica,Y
Air One,AP,ADH,HERON,Italy,Y
Air Sahara,S2,RSH,SAHARA,India,Y
Air Malta,KM,AMC,AIR MALTA,Malta,Y
Aeroejecutivo,,AJO,AEROEXO,Mexico,N
Aero Jets Corporativos,,AJP,AEROJETS,Mexico,N
Aeroejecutivos Colombia,,AJS,AEROEJECUTIVOS,Colombia,N
Amerijet International,M6,AJT,AMERIJET,United States,N
Air Jetsul,,AJU,AIRJETSUL,Portugal,N
ANA & JP Express,,AJV,AYJAY CARGO,Japan,N
Alpha Jet International,,AJW,ALPHAJET,United States,N
Air Japan,NQ,AJX,AIR JAPAN,Japan,Y
Ajet,,AJY,AYJET,Cyprus,N
Air Korea Co. Ltd.,,AKA,,Republic of Korea,Y
Air Livonia,,LIV,LIVONIA,Estonia,N
Air BC,,ABL,AIRCOACH,Canada,N
Air Fret Senegal,,ABN, ,Senegal,N
Air Jamahiriya Company,,LJA,AIR JAMAHIRIYA,Libya,N
Aktjubavia,,AKB,KARAB,Kazakhstan,N
Arca Aerovias Colombianas Ltda.,,AKC,ARCA,Colombia,N
Anikay Air Company,,AKF,ANIKAY,Kyrgyzstan,N
Akhal,,AKH,AKHAL,Turkmenistan,N
Aeromilenio,,MNI,AEROMIL,Mexico,N
Aklak Air,,AKK,AKLAK,Canada,N
Air Kiribati,4A,AKL,,Kiribati,Y
Alkan Air,,AKN,ALKAN AIR,Canada,N
Angkor Airways,,AKW,ANGKORWAYS,Cambodia,N
Air Nippon Network Co. Ltd.,EH,AKX,ALFA WING,Japan,N
AK Navigator LLC,,AKZ,ABSOLUTE,Kazakhstan,N
Aero Albatros,,ALB,ALBATROS,Mexico,N
Albion Aviation,,ALD,ALBION,United Kingdom,N
Aeroalas Colombia,,ALE,AEROALAS,Colombia,N
Allied Command Europe (Mobile Force),,ALF,ACEFORCE,Belgium,N
Aerotaxis Albatros,,BTS,AEROLINEAS ALBATROS,Mexico,N
American Flyers,,FYS,AMERICAN FLYERS,United States,N
Aero Coach Aviation,,DFA,AERO COACH,United States,N
Atlantic Southeast Airlines,,CAA,Chandler,United States,N
ACM Air Charter,,BVR,BAVARIAN,Germany,N
Air Logistics,,ALG,AIRLOG,United States,N
Aerovallarta,,ALL,VALLARTA,Mexico,N
Air ALM,,ALM,ANTILLEAN,Netherlands Antilles,N
Air Lincoln,,ALN,CHICAGO LINCOLN,United States,N
America West Airlines,HP,AWE,CACTUS,United States,Y
Air Wisconsin,ZW,AWI,AIR WISCONSIN,United States,Y
Aerotransporte de Carga Union,,TNO,AEROUNION,Mexico,N
Aero Taxis Cessna,,TND,TAXIS CESSNA,Mexico,N
Arizona Express Airlines,,TMP,TEMPE,United States,N
Tatarstan Airlines,U9,TAK,TATARSTAN,Russia,Y
Allegheny Commuter Airlines,,ALO,ALLEGHENY,United States,Y
Alpliner AG,,ALP,ALPINER,Switzerland,N
Altair Aviation (1986),,ALQ,ALTAIR,Canada,N
Air Luxor STP,,ALU,LUXORJET,Sao Tome and Principe,N
Alas de Venezuela,,ALV,ALVEN,Venezuela,N
Alas Nacionales,,ALW, S.A.,ALNACIONAL,N
Alyeska Air Service,,ALY,ALYESKA,United States,N
Alta Flights (Charters) Ltd.,,ALZ, ,Canada,N
Air Sunshine,,RSI,AIR SUNSHINE,United States,Y
ATMA,,AMA,ADIK,Kazakhstan,N
Aerolineas Medellin,,AMD,AEROLINEAS MEDELLIN,Colombia,N
Ameriflight,,AMF,AMFLIGHT,United States,N
Air Libert,VD,,,France,Y
Air Lithuania,TT,KLA,KAUNAS,Lithuania,N
Air Minas Linhas A,,AMG,AIR MINAS,Brazil,N
Alan Mann Helicopters Ltd.,,AMH,MANN,United Kingdom,N
Air Maldives,,AMI,AIR MALDIVES,Maldives,N
Aviation Amos,,AMJ,AVIATION AMOS,Canada,N
Amerer Air,,AMK,AMER AIR,Austria,N
Air Malawi,QM,AML,MALAWI,Malawi,Y
Aeroputul International Marculesti,,AMM,AEROM,Moldova,N
Air Montenegro,,AMN,MONTENEGRO,Montenegro,N
Air Montreal (Air Holdings Inc.),,AMO,AIR MONTREAL,Canada,N
Aero Transporte S.A. (ATSA),,AMP,ATSA,Peru,N
Aeromedicare Ltd.,,AMQ,LIFELINE,United Kingdom,N
Air Sicilia,BM,,,Italy,Y
Air Specialties Corporation,,AMR,AIR AM,United States,N
Air Muskoka,,AMS,AIR MUSKOKA,Canada,N
ATA Airlines,,AMT,AMTRAN,United States,Y
Air Macau,NX,AMU,AIR MACAO,Macao,Y
AMC Airlines,,AMV,,Egypt,Y
Air Midwest,ZV,AMW,AIR MIDWEST,United States,N
Air Seychelles,HM,SEY,SEYCHELLES,Seychelles,Y
Air Sofia,,SFB,AIR SOFIA,Bulgaria,N
AeroMéxico,AM,AMX,AEROMEXICO,Mexico,Y
Air Ambar,,AMY,AIR AMBAR,Dominican Republic,N
Amiya Airline,,AMZ,AMIYA AIR,Nigeria,N
All Nippon Airways,NH,ANA,ALL NIPPON,Japan,Y
Air Navigation And Trading Co. Ltd.,,ANB,AIR NAV,United Kingdom,N
Anglo Cargo,,ANC,ANGLO,United Kingdom,N
Air Nostrum,YW,ANE,AIR NOSTRUM,Spain,Y
Air Niugini,PX,ANG,NUIGINI,Papua New Guinea,Y
Air Arabia,G9,ABY,ARABIA,United Arab Emirates,Y
Air Canada,AC,ACA,AIR CANADA,Canada,Y
Airport Bratsk,,BRP,AEROBRA,Russia,N
Air Wings,,BSB,ARBAS,Moldova,N
Air Baltic,BT,BTI,AIRBALTIC,Latvia,Y
Alajnihah for Air Transport,,ANH,ALAJNIHAH,Libya,N
Air Atlantic (Nig) Limited,,ANI,NIGALANTIC,Nigeria,N
Air Nippon,EL,ANK,ANK AIR,Japan,Y
Antares Airtransport,,ANM, Maintenance & Service GmbH,ANTARES,N
Airnorth,TL,ANO,TOPEND,Australia,Y
Aerol,,ANQ,ANTIOQUIA,Colombia,N
Andes Lineas Aereas,,ANS,AEROANDES,Argentina,N
Air North Charter - Canada,4N,ANT,AIR NORTH,Canada,Y
Air Nevada,,ANV,AIR NEVADA,United States,N
AOM French Airlines,IW,AOM,French Lines,France,N
Aviacion Del Noroeste,,ANW, S.A. de C.V.,AVINOR,N
Air New Zealand,NZ,ANZ,NEW ZEALAND,New Zealand,Y
Avia Jaynar,,SAP,TOBOL,Kazakhstan,N
Aero Servicios Empresariales,,EMS,SERVIEMPRESARIAL,Mexico,N
Alcon Servicios Aereos,,AOA, S.A. de C.V.,ALCON,N
AVCOM,J6,AOC,AERO AVCOM,Russia,N
Aero Vodochody,,AOD,AERO CZECH,Czech Republic,N
Air One Executive,,AOE, ,Italy,N
Atair Pty Ltd.,,AOF,ATAIR,South Africa,N
Aero VIP,2D,AOG,AVIP,Argentina,N
Aeromundo Ejecutivo,,MUN,AEROMUNDO,Mexico,N
Aerolinea Muri,,MUR,MURI,Mexico,N
Astoria,,AOI, Inc.,ASTORIA,N
Aero Rent JSC,,NRO,AEROMASTER,Russia,N
Aeronord-Grup,,NRP,AERONORD,Moldova,N
Aeroatlantico Colombia,,AOK,,Colombia,N
Angkor Airlines,,AOL,ANGKOR AIR,Cambodia,N
Aero Entreprise,,AON,AERO ENTERPRISE,France,N
As,,AOO, Opened Joint Stock Company,COMPANY AS,N
Aeropiloto,,AOP,AEROPILOTO,Portugal,N
Aeroenlaces Nacionales,,VIV,AEROENLACES,Mexico,N
Aerovis Airlines,,VIZ,AEROVIZ,Ukraine,N
Avjet International (FZE),,VJE,,United Arab Emirates,N
Aerovista Gulf Express,,VGF,VISTA GULF,United Arab Emirates,N
Air Vegas,6V,VGA,AIR VEGAS,United States,N
Almaver,,VER,ALMAVER,Mexico,N
Afro International Ent. Limited,,AOR,INTER-AFRO,Nigeria,N
Alitalia Express,XM,SMX,ALIEXPRESS,Italy,Y
Asia Overnight Express,OE,AOT,ASIA OVERNIGHT,Philippines,N
Air Tractor,,AOU,AIR TRACTOR,Croatia,N
Aero Vision,,AOV,AEROVISION,France,N
Aerotaxi Del Valle,,AOX,AEROVALLE,Colombia,N
Air Park Aviation Ltd.,,APA,CAN-AM,Canada,N
Airpac Airlines,,APC, Inc.,AIRPAC,N
Aeroservicios Monterrey,,SVM,SERVIMONTE,Mexico,N
Amapola Flyg AB,,APF,AMAPOLA,Sweden,N
Air People International,,APG,AIR PEOPLE,Thailand,N
Alpha Aviation,,APH, Inc.,AIRFLIGHT,N
ASA Pesada,,API, Lda.,ASA PESADA,N
Air Print,,APJ, S.A.,AIR PRINT,N
Atlantic Airlines,,BJK,BLACKJACK,United States,N
Aerotransporte Petrolero,,PET,AEROPETRO,Colombia,N
Aero Flight,GV,ARF,Aero Fox,Germany,Y
ACM Aviation,,BJT,BAY JET,United States,N
Aircompany Barcol,,BKL,BARCOL,Russia,N
All Charter Limited,,BLA,ALL CHARTER,United Kingdom,N
Appalachian Flying Service,,APL, Inc.,APPALACHIAN,N
Airpac,,APM, Inc.,ALASKA PACIFIC,N
Aeropro,,APO,AEROPRO,Canada,N
Aerolineas Pacifico Atlantico,,APP, S.A. (Apair),AEROPERLAS,N
Aspen Aviation,,APQ,ASPEN BASE,United States,N
Aeropuma,,APU, S.A.,AEROPUMA,N
Air Plan International,,APV,AIR PLAN,Democratic Republic of the Congo,N
Arrow Air,JW,APW,BIG A,United States,Y
Apex Air Cargo,,APX,PARCEL EXPRESS,United States,N
APA Internacional,,APY,APA INTERNACIONAL,Dominican Republic,N
Aeroatlas,,AQA, S.A.,ATCO,N
Aquila Air Ltd.,,AQL,AQUILA,Canada,N
Air Queensland,,AQN,BUSHAIR,Australia,N
Aluminum Company Of America,,AQO,ALCOA SHUTTLE,United States,N
Aviones de Renta de Quintana Roo,,AQT, S.A. de C.V.,AVIOQUINTANA,N
AirQuarius Aviation,,AQU,QUARIUS,South Africa,N
Aerodyne Charter Company,,AQZ,QUANZA,United States,N
Arik Air,W3,ARA,ARIK AIR,Nigeria,N
Avia Air N.V.,,ARB,AVIAIR,Aruba,N
Air Routing International Corp.,,ARC, ,United States,N
Aerocondor,2B,ARD,AEROCONDOR,Portugal,Y
Aires,4C,ARE, Aerovias de Integracion Regional, S.A.,Y
Aerolineas Argentinas,AR,ARG,ARGENTINA,Argentina,Y
Arrowhead Airways,,ARH,ARROWHEAD,United States,N
Aero Vics,,ARI,AEROVICS,Mexico,N
Aerojet de Costa Rica,,ARJ, S.A.,,N
Antillana De Navegacion Aerea,,SUN,,Dominican Republic,N
Aeroservicios De San Luis,,SUO,SERVICIO SANLUIS,Mexico,N
Aerosuper,,SUP,AEROSUPER,Mexico,N
Aero Link Air Services S.L.,,ARK,LINK SERVICE,Spain,N
Airlec - Air Aquitaine Transport,,ARL,AIRLEC,France,N
Aeromarket Express,,ARM,AMEX,Spain,N
Arrow Aviation Ltd.,,ARO,ARROW,Canada,N
RPA-Aviataxi Ltd.,,ARP,,Russia,N
Air Klaipeda,,KLD,AIR KLAIPEDA,Lithuania,N
Armstrong Air,,ARQ, Inc.,ARMSTRONG,N
Air Armenia,QN,ARR,AIR ARMENIA,Armenia,N
Aeromet Servicios,,ARS,METSERVICE,Chile,N
Aerotal Aerolineas Territoriales de Colombia Ltda,,ART,AEROTAL,Colombia,N
Aravco Ltd.,,ARV,ARAVCO,United Kingdom,N
Aria,,ARW,ARIABIRD,France,N
Air Xpress,,ARX, Inc.,AIREX,N
Airline Alania,,OST,ALANIA,Russia,N
Air Tchad,,HTT,HOTEL TANGO,Chad,N
Aerloineas de Techuacan,,HUC,LINEAS TEHUACAN,Mexico,N
Aerotransportes Huitzilin,,HUT,AEROHUITZILIN,Mexico,N
Aero Transportes Del Humaya,,HUY,AERO HUMAYA,Mexico,N
Argosy Airways,,ARY,GOSEY,United States,N
Air Resorts,,ARZ,AIR RESORTS,United States,N
Alaska Airlines,AS,ASA, Inc.,ALASKA,Y
Air-Spray 1967 Ltd.,,ASB,AIR SPRAY,Canada,N
Air Star Corporation,,ASC,AIR STAR,Canada,N
Air Sinai,4D,ASD,AIR SINAI,Egypt,Y
Airstars,PL,ASE,MOROZOV,Russia,N
Air Schefferville,,ASF, Inc.,SCHEFF,N
African Star Airways (PTY) Ltd.,,ASG,AFRICAN STAR,South Africa,N
Aerosun International,,ASI, Inc.,AEROSUN,N
Air Satellite,,ASJ,SATELLITE,Canada,N
Awesome Flight Services (PTY) Ltd.,,ASM,AWESOME,South Africa,N
Air and Sea Transport,,ASN, ,Russia,N
Aero Slovakia,,ASO,AERO NITRA,Slovakia,N
Airsprint,,ASP,AIRSPRINT,Canada,N
Atlantic Southeast Airlines,EV,ASQ,ACEY,United States,Y
All Star Airlines,,ASR, Inc.,ALL STAR,N
Air Class,,ASS, S.A. de C.V.,AIR CLASS,N
Aerlineas Del Oeste,,AST,AEROESTE,Mexico,N
Aviones Are,,NRE,AVIONES ARE,Mexico,N
Air Nepal International,,NPL,AIR NEPAL,Nepal,N
Air Napier,,NPR,,New Zealand,N
Air Taxi & Cargo,,WAM,TAXI CARGO,Sudan,N
Arrow Panama,,WAP,ARROW PANAMA,Panama,N
Astravia-Bissau Air Transports Ltd.,,ASV,ASTRAVIA,Guinea-Bissau,N
Astrakhan Airlines,OB,ASZ,AIR ASTRAKHAN,Russia,Y
Air Transport Association,,ATA,,United States,N
Atlantair Ltd.,,ATB,STARLITE,Canada,N
Air Tanzania,TC,ATC,TANZANIA,Tanzania,Y
Aerotours Dominicana,,ATD,AEROTOURS,Dominican Republic,N
Atlantis Transportation Services,,ATE, Ltd.,ATLANTIS CANADA,N
Aerotrans Airline,,ATG,BACHYT,Kazakhstan,N
Air Charter World,,XAC,,United States,N
Air Burkina,2J,VBW,BURKINA,Burkina Faso,Y
Air Travel Corp.,,ATH,AIR TRAVEL,United States,N
